gx,gy,gz,x,y,z
-3,0,-1,63,-13,12
-3,0,-1,61,-11,14
-3,0,-1,61,-11,13
-3,-1,-1,62,-12,12
-3,-1,-1,62,-11,13
-3,-1,0,60,-12,11
-3,-1,0,61,-13,9
-2,-1,-1,61,-13,10
-2,-1,-1,61,-11,11
-2,-1,-1,61,-11,12
-2,0,-1,62,-12,10
-2,0,-1,62,-12,9
-2,0,-1,63,-12,9
-2,0,-1,63,-12,9
-3,0,-1,63,-12,9
-3,0,-1,64,-10,10
-3,1,-1,62,-12,10
-3,0,-1,61,-13,9
-3,0,-1,62,-11,9
-3,0,-1,64,-9,11
-3,0,-1,62,-10,12
-3,0,-1,60,-12,11
-3,0,-1,61,-12,10
-3,0,-1,61,-12,9
-3,-1,-1,62,-11,10
-3,-1,-1,64,-12,11
-2,-1,-1,63,-12,11
-2,-1,-1,62,-11,11
-2,-1,0,62,-11,10
-2,0,-1,63,-12,10
-2,0,-1,63,-11,9
-2,0,-1,62,-11,9
-2,-1,-1,62,-12,8
-2,-1,-1,63,-9,9
-2,-1,-1,63,-10,9
-3,0,-1,63,-10,9
-3,0,-1,64,-10,9
-3,0,-1,64,-9,8
-3,0,-1,62,-10,9
-3,0,-1,62,-10,9
-3,0,-1,62,-9,10
-3,0,-1,63,-9,10
-3,0,-1,63,-10,9
-3,-1,-1,62,-11,9
-3,-1,-1,62,-9,9
-3,-1,-1,63,-9,7
-3,0,-1,62,-11,8
-3,-1,-1,62,-10,9
-3,-1,-1,63,-10,8
-2,-1,-1,62,-11,6
-2,-2,0,63,-10,6
-2,-2,0,63,-9,6
-2,-1,-1,63,-10,6
-2,-1,0,64,-7,6
-3,-1,-1,64,-7,6
-3,0,-1,63,-9,7
-3,0,-1,64,-9,4
-3,0,-1,63,-8,5
-3,1,-1,62,-10,6
-3,0,-1,62,-10,6
-2,0,-1,63,-9,6
-2,0,-1,62,-8,6
-2,0,-1,63,-8,6
-3,-1,-1,63,-9,6
-3,-1,-1,63,-9,5
-2,-1,-1,64,-8,6
-2,-1,-1,64,-8,7
-2,-1,-1,64,-9,6
-2,-1,-1,63,-9,4
-2,-2,0,62,-9,3
-2,-2,0,62,-9,2
-2,-1,0,63,-10,1
-2,-2,0,63,-10,3
-2,-2,0,63,-9,1
-2,-2,0,63,-10,1
-2,-2,0,64,-9,1
-2,-1,-1,63,-9,1
-2,-1,-1,63,-9,0
-2,-1,-1,63,-8,1
-2,-1,-1,62,-8,0
-2,-1,-1,64,-9,-1
-3,0,-1,64,-8,-1
-3,0,-1,63,-9,1
-2,-1,-1,65,-9,0
-2,-1,-1,65,-8,-1
-3,0,-1,63,-8,0
-2,0,-1,63,-8,0
-2,-1,-1,63,-6,0
-2,0,-1,62,-7,-1
-2,0,-1,62,-6,-1
-3,0,-1,63,-6,0
-2,0,-1,63,-5,1
-2,0,-1,62,-6,1
-2,0,-1,63,-6,1
-2,-1,-1,64,-5,0
-2,-1,-1,63,-5,-2
-3,0,-1,63,-4,0
-3,0,-1,64,-4,2
-3,0,-1,64,-5,3
-2,0,-1,64,-4,1
-2,0,-1,63,-2,1
-2,0,-1,63,-3,0
-1,0,-1,63,-2,-1
-2,0,-1,62,-1,2
-2,0,-1,62,-1,3
-2,0,-1,63,0,3
-1,0,-2,66,1,5
-1,0,-2,63,0,4
-1,0,-2,60,1,4
-1,-1,-1,61,1,1
-2,-1,0,64,0,2
-2,-1,0,65,0,7
-1,-1,0,64,-1,4
-1,-1,0,64,-1,0
-1,-1,0,64,-1,1
-2,-1,0,64,-3,3
-1,-1,0,64,-3,1
-2,-1,0,65,-2,-3
-3,0,0,64,-4,2
-3,0,0,63,-4,3
-2,0,0,63,-3,2
-2,0,0,63,-3,2
-2,0,0,62,-3,2
-2,0,0,62,-3,2
-2,-1,0,62,-4,3
-2,-1,0,64,-3,3
-2,-1,0,63,-3,2
-2,0,0,64,-3,2
-2,0,0,65,-3,3
-2,0,-1,63,-3,2
-2,0,-1,63,-3,3
-2,1,-1,63,-3,3
-2,1,-1,64,-3,2
-3,0,-1,64,-3,4
-3,0,-1,64,-3,3
-3,0,-1,64,-3,3
-2,0,-1,62,-3,3
-2,0,-1,63,-2,3
-2,0,-1,63,-2,4
-2,0,-1,63,-2,4
-2,0,-1,63,-2,4
-2,0,-1,63,-2,5
-2,0,-1,63,-2,5
-2,0,-1,63,-2,6
-1,-1,-1,64,-2,6
-1,-1,-1,63,-2,5
-1,-1,-1,63,-1,6
-2,-1,-1,64,-1,6
-2,-1,-1,63,-2,4
-2,-1,-1,63,-1,4
-2,-2,-1,64,-1,5
-2,-2,0,65,-1,3
-2,-2,0,64,-1,1
-2,-1,0,63,-1,2
-2,-1,0,64,-2,1
-2,-1,0,64,-2,1
-1,-1,0,63,-2,2
-2,-1,0,63,-1,-1
-2,-1,0,64,-2,0
-2,-1,0,64,-2,0
-2,-1,0,64,-2,-1
-2,-1,0,63,-2,1
-2,-1,0,63,-3,-1
-2,-1,0,63,-2,-1
-2,-1,-1,63,-2,0
-2,-1,-1,63,-2,0
-2,-1,-1,63,-2,-2
-2,-1,-1,63,-3,-1
-2,-1,0,64,-3,-3
-2,-1,0,63,-2,-3
-2,0,-1,62,-2,-2
-2,-1,-1,63,-1,-3
-2,-1,-1,63,-1,-3
-2,-1,-1,63,-2,-1
-2,0,-1,63,-2,-1
-2,-1,-1,63,-1,-3
-2,-1,-1,63,-1,-2
-2,-1,-1,63,-1,-2
-2,-1,-1,64,-1,-3
-2,-2,-1,63,-1,-3
-2,-2,0,63,-2,-3
-2,-1,0,62,-2,-2
-2,-1,0,63,-2,-3
